State Name,District Name,Market Name,Variety,Group
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Chattrapati Sambhajinagar,Vaijpur,Red,Vegetables
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Red,Vegetables
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Red,Vegetables
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Red,Vegetables
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Dhule,Dhule,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
Maharashtra,Jalgaon,Bhusaval,Red,Vegetables
